1단계	2단계	사용자	상황	어떻게	결과	US ID
인증	회원가입	소셜 계정으로 최초 가입	서비스 이용을 위한 계정이 필요함	소셜 계정을 이용해 회원가입을 진행한다	계정이 생성되고 서비스 이용을 시작한다	AUTH-01
인증	소셜 로그인	소셜 계정을 사용하는 사용자	비밀번호 없이 빠르게 시작하고 싶음	로그인 화면에서 Google 등 소셜 로그인 버튼을 누르고 계정 인증을 완료한다	계정이 연결되고 내 여행 데이터가 로드된다	AUTH-02
인증	로그아웃	로그인된 사용자	서비스 이용을 종료하거나 다른 계정으로 변경하고 싶음	로그아웃을 선택한다	현재 로그인 세션이 종료된다	AUTH-03
인증	회원 탈퇴	서비스를 더 이상 이용하지 않는 사용자	내 계정을 삭제하고 싶음	회원 탈퇴를 선택하고 확인한다	계정이 탈퇴 처리되고 정책에 따라 데이터가 처리된다	AUTH-04
인증	세션 만료	로그인된 사용자	작업 중 세션이 만료됨	세션 만료 안내에서 다시 로그인을 눌러 재인증한다	이전 작업 문맥으로 복귀하거나 대시보드로 이동한다	AUTH-05
인증	차단 안내	차단된 사용자	로그인이 되지 않는 이유를 알고 싶음	로그인을 시도한다	차단되었다는 안내와 사유, 차단 시점을 확인할 수 있다	AUTH-06
인증	계정 복구	탈퇴한 사용자	실수로 탈퇴했거나 다시 이용하고 싶음	탈퇴 후 30일 안에 같은 소셜 계정으로 복구를 요청한다	계정이 되살아나고 닉네임과 기록이 그대로 복구된다	AUTH-07
온보딩	초기 설정	처음 가입한 사용자	나에게 맞는 서비스 환경을 설정하고 싶음	닉네임(중복 불가)과 프로필 등의 기본 정보를 입력한다	메인 화면으로 이동한다. 이미 사용 중인 닉네임이면 다른 닉네임을 입력하도록 안내받는다	ONB-01
온보딩	초기 설정 건너뛰기	처음 가입한 사용자	환경 설정을 건너뛰고 싶음	건너뛰기 버튼을 누른다	바로 메인화면으로 이동하고, 커뮤니티에 표시할 기본 닉네임이 자동으로 지정된다	ONB-02
마이페이지	내 프로필 조회	여행자	내 정보와 활동 현황을 확인하고 싶음	마이페이지에 진입한다	닉네임, 프로필 이미지와 내 기록 현황을 확인할 수 있다	MY-01
마이페이지	내 프로필 수정	여행자	닉네임이나 프로필 이미지를 바꾸고 싶음	마이페이지에서 프로필 수정을 선택하고 닉네임 또는 프로필 이미지를 변경한다	프로필에 반영된다. 이미 사용 중인 닉네임이면 다른 닉네임을 입력하도록 안내받는다	MY-02
플래너	일정 생성	여행 계획자	새로운 여행 일정을 만들고 싶음	여행지(복수 선택 가능)와 여행 기간을 설정해 일정을 생성한다	새로운 여행 일정이 생성된다	PLAN-01
플래너	세부 일정 생성	여행 계획자	여행 기간에 맞춰 방문 장소와 동선을 구성하고 싶음	장소를 검색해 일정에 추가하고 방문 순서를 변경한다	일자별 일정에 장소가 배치되고 여행 동선이 구성된다	PLAN-02
플래너	일정 상세 조회	여행자	작성한 여행 일정의 세부 내용을 확인하고 싶음	일정 목록에서 원하는 여행 일정을 선택한다	여행 기간과 일자별 방문 장소 및 이동 순서를 확인할 수 있다	PLAN-03
플래너	일정 수정	여행 계획자	기존 여행 계획을 변경하고 싶음	여행 일정의 날짜, 장소 또는 방문 순서를 수정한다	변경한 내용이 여행 일정에 반영된다	PLAN-04
플래너	일정 삭제	여행 계획자	더 이상 필요하지 않은 여행 일정을 정리하고 싶음	일정 목록에서 삭제할 일정을 선택하고 삭제를 확인한다	선택한 여행 일정이 목록에서 제거되고, 연결된 아카이브는 그대로 유지된다	PLAN-05
플래너	장소 검색	여행 계획자	여행 일정에 추가할 관광지를 찾고 싶음	지역이나 장소명을 검색한다	검색 조건에 맞는 관광지와 관련 정보가 표시된다	PLAN-06
플래너	장소 상세 조회	여행 계획자	일정에 추가하기 전에 관광지 정보를 자세히 확인하고 싶음	검색 결과에서 원하는 장소를 선택한다	장소의 이름, 위치, 이미지, 운영 시간·휴무일 및 관광 정보를 확인할 수 있다	PLAN-07
플래너	주변 추천 장소 추가	여행 계획자	현재 일정 주변의 다른 여행지를 빠르게 추가하고 싶음	추가할 일정과 세부 일정을 선택한다	선택한 장소가 일정에 추가되고 지도 동선이 갱신된다	PLAN-08
플래너	AI 일정 추천/자동 생성	여행 계획자	가고싶은 곳은 많은데 순서를 어떻게 짜야 할지 모르겠음	가고 싶은 장소들을 입력하고 AI 자동생성을 선택한다	AI가 정리한 순서와 예상 이동 거리를 미리 확인하고, 적용을 선택하면 일정에 반영된다	PLAN-09
플래너	코스 시각화	여행 계획자	현재 일정을 시각화해서 보고싶음	현재 일정들을 시각화해서 보여준다	일정 동선이 시각화되어 이동 반경이 한눈에 보인다	PLAN-10
플래너	일정 목록 조회	여행자	내가 작성한 여행 일정들을 한눈에 확인하고 싶음	플래너 메뉴에서 일정 목록을 조회한다	예정된 여행이 먼저 표시되고, 그 아래에 지난 여행이 최신순으로 표시된다	PLAN-11
플래너	공유된 타인의 코스 가져오기	여행 계획자	커뮤니티에 공유된 여행 코스를 내 여행에 활용하고 싶음	커뮤니티 게시물 상세에서 코스 가져오기를 선택하고 여행 시작일을 입력한다	선택한 코스가 내 일정으로 복사된다	PLAN-12
지도	여행 지역 인증	여행자	실제로 방문한 지역을 여행 기록으로 남기고 싶음	위치 권한을 허용하고 해당 지역에서 방문 인증을 수행한다	해당 지역이 방문한 지역으로 등록된다	MAP-01
지도	방문 지역 확인	여행자	지금까지 방문 인증을 완료한 지역을 확인하고 싶음	지도에서 여행 지역을 확인한다	방문한 지역이 지도에서 시각적으로 구분되어 표시된다	MAP-02
지도	지역 상세 정보 확인	여행자	방문했거나 여행하고 싶은 지역의 관광 정보를 확인하고 새로운 여행 장소를 찾고 싶음	지도에서 특정 지역을 선택하고 해당 지역의 관광지, 음식점 등의 정보를 확인한다	선택한 지역의 주요 여행 정보를 확인하고 마음에 드는 장소를 선택하여 여행 일정에 추가할 수 있다	MAP-03
지도	여행 지역 인증 실패	여행자	현재 위치를 확인할 수 없거나 인증 가능한 지역이 아님	위치 권한을 허용하지 않았거나 인증 조건을 충족하지 않은 상태에서 방문 인증을 시도한다	방문 인증이 완료되지 않고 인증 실패 사유와 해결 방법을 확인할 수 있다	MAP-04
정원	정원 조회	여행자	여행하며 모은 식물과 오브젝트가 어떻게 정원에 반영되었는지 확인하고 싶음	정원 메뉴에 진입한다	현재 정원에 배치된 식물과 오브젝트, 각 식물의 성장 상태를 한눈에 확인할 수 있다	GARDEN-01
정원	지역 보상	여행자	새로운 지역을 방문한 보상을 받고 싶음	해당 지역에서 방문 인증을 완료한다	지역 전용 식물이나 오브젝트가 해금되거나, 이미 해금된 식물 또는 오브젝트라면 성장하여 정원에 반영된다 단, 같은 지역은 7일에 한 번만 성장에 반영된다	GARDEN-02
